city,year,price
Астана,2001,679.0
Алматы,2001,435.0
Шымкент,2001,189.0
Актау,2001,183.0
Актобе,2001,260.0
Атырау,2001,150.0
Жезказган,2001,
Кокшетау,2001,131.0
Караганда,2001,109.0
Конаев,2001,
Костанай,2001,110.0
Кызылорда,2001,55.0
Уральск,2001,158.0
Усть-Каменогорск,2001,142.0
Павлодар,2001,104.0
Петропавловск,2001,104.0
Семей,2001,100.0
Талдыкорган,2001,
Тараз,2001,120.0
Астана,2002,818.0
Алматы,2002,486.0
Шымкент,2002,189.0
Актау,2002,251.0
Актобе,2002,313.0
Атырау,2002,160.0
Жезказган,2002,
Кокшетау,2002,181.0
Караганда,2002,175.0
Конаев,2002,
Костанай,2002,137.0
Кызылорда,2002,125.0
Уральск,2002,220.0
Усть-Каменогорск,2002,186.0
Павлодар,2002,135.0
Петропавловск,2002,362.0
Семей,2002,100.0
Талдыкорган,2002,
Тараз,2002,143.0
Астана,2003,791.0
Алматы,2003,623.0
Шымкент,2003,230.0
Актау,2003,293.0
Актобе,2003,448.0
Атырау,2003,250.0
Жезказган,2003,
Кокшетау,2003,224.0
Караганда,2003,272.0
Конаев,2003,
Костанай,2003,214.0
Кызылорда,2003,155.0
Уральск,2003,285.0
Усть-Каменогорск,2003,209.0
Павлодар,2003,154.0
Петропавловск,2003,362.0
Семей,2003,131.0
Талдыкорган,2003,
Тараз,2003,218.0
Астана,2004,846.0
Алматы,2004,778.0
Шымкент,2004,366.0
Актау,2004,423.0
Актобе,2004,635.0
Атырау,2004,850.0
Жезказган,2004,
Кокшетау,2004,280.0
Караганда,2004,341.0
Конаев,2004,
Костанай,2004,328.0
Кызылорда,2004,202.0
Уральск,2004,299.0
Усть-Каменогорск,2004,234.0
Павлодар,2004,298.0
Петропавловск,2004,422.0
Семей,2004,234.0
Талдыкорган,2004,
Тараз,2004,354.0
Астана,2005,968.0
Алматы,2005,1115.0
Шымкент,2005,415.0
Актау,2005,625.0
Актобе,2005,690.0
Атырау,2005,950.0
Жезказган,2005,
